,feature,importance
2291,CG14245,0.12280535
10205,MtnB,0.104283385
7719,Cyp4d1,0.09219717
1548,CG12256,0.09126869
3,Sex_mixed,0.08195476
1806,CG13069,0.08089216
1695,CG12826,0.076445386
211,Alp2,0.07291138
8063,Drs,0.07064631
3683,CG30289,0.069139615
10420,Nepl15,0.065471075
8456,fit,0.06434313
1410,CG11741,0.064277455
5788,CG45069,0.062008757
10475,NimC1,0.06042827
3318,CG18180,0.058808632
2506,CG14715,0.05832438
0,Sex_Female,0.057452317
7211,CG9689,0.057222504
10828,Orcokinin,0.05621388
10123,Ms,0.0558975
5921,CG4757,0.055891562
5668,CG44006,0.055770688
5410,CG43134,0.05573597
12220,Sgsh,0.055374652
3612,CG30059,0.054912277
9306,Irbp,0.054626048
657,BomS5,0.054574247
8231,eIF4E6,0.054332577
9373,Jon99Ci,0.054269757
10915,Pabp2,0.053602073
659,BomT1,0.052569486
6269,CG6034,0.05219623
2,Sex_Unknown,0.051846977
866,Ccp84Ag,0.051529195
11306,PPO1,0.051267993
1140,CG10799,0.051245008
8106,dysf,0.051107816
13434,vilya,0.05105195
1831,CG13116,0.050818034
11307,PPO2,0.05069857
10244,Mur18B,0.05069242
660,BomT2,0.050433546
2972,CG16713,0.050191168
6569,CG7227,0.050177556
8481,FMRFa,0.050164115
10201,Mtk,0.049278025
8343,ETH,0.048967864
6761,CG7916,0.04889467
4462,CG33307,0.048834197
620,Bin1,0.048727676
10560,Npc2c,0.048721507
4018,CG31775,0.048554227
6464,CG6839,0.048335698
10208,MtnE,0.046983436
11106,phm,0.046913642
3735,CG30431,0.046913464
2924,CG15870,0.046897233
5998,CG5023,0.046618957
964,CG10126,0.045944992
1809,CG13071,0.045845665
9308,Irc,0.045638636
9362,Jon25Bi,0.045597408
4721,CG34215,0.04537327
6356,CG6403,0.04526982
5393,CG43109,0.045248974
8085,Dtg,0.04507964
4104,CG32032,0.04496727
5708,CG44259,0.044410627
1709,CG12868,0.04439714
2317,CG14300,0.04432748
9307,Irbp18,0.044241443
12624,ssp7,0.044223435
2219,CG14075,0.04419247
8817,Gr98a,0.044093706
7715,Cyp4ac3,0.04403116
6629,CG7409,0.043943483
6159,CG5639,0.043872833
7757,Cyp9b1,0.043716267
7026,CG8997,0.043623704
4260,CG32536,0.04346794
7734,Cyp6a13,0.043344017
4936,CG3699,0.042788416
3723,CG30411,0.042666785
11014,Pepck1,0.042611785
11447,Ptth,0.042344607
5122,CG42365,0.04232362
8650,Gel,0.04226736
6110,CG5418,0.04218068
7747,Cyp6d2,0.042048912
11833,RpL35A,0.04196664
9364,Jon25Biii,0.041835543
12344,slp1,0.041374538
7219,CG9717,0.041293446
7545,Cpr64Ac,0.04128018
10668,obe,0.041279502
11470,Pxt,0.041085254
8830,grim,0.04102233
4020,CG31777,0.040884428
9180,IM14,0.040810596
4748,CG34253,0.040727206
8240,eIF6,0.04068116
10686,Obp56a,0.04066417
4800,CG34328,0.040608115
6293,CG6142,0.040493026
8796,Gr61a,0.040405322
3317,CG18179,0.040385377
6349,CG6356,0.040241934
7919,DIP-iota,0.04014525
8038,Dr,0.040011164
6767,CG7953,0.039852615
8320,epsilonTry,0.039726347
207,Alp10,0.039707087
5246,CG42694,0.039670028
11853,RpLP1,0.039499667
3050,CG17002,0.039479807
1909,CG13311,0.03934
11308,PPO3,0.03933636
9414,Kdm4B,0.039322395
13555,wrapper,0.039303098
3779,CG31036,0.03907997
7975,DNApol-zeta,0.039032664
7362,cib,0.039030787
5284,CG42780,0.038856868
4486,CG33460,0.038790155
5280,CG42764,0.038784415
5023,CG40470,0.038691882
6248,CG5955,0.038686723
13389,ver,0.038640033
8157,eco,0.03863032
11450,puc,0.03847008
1341,CG11459,0.038386133
9742,lz,0.038373444
9959,Mip,0.038341675
2033,CG13607,0.038303666
8866,GstE1,0.03811328
9318,IscU,0.038068227
5162,CG4250,0.03797465
8946,He,0.03795045
13595,yellow-f,0.03791203
2984,CG16743,0.037879433
13617,Yp2,0.037877325
9366,Jon65Ai,0.03782786
3391,CG18596,0.03778946
5507,CG43330,0.037716962
4900,CG3568,0.037688166
639,bnb,0.037674274
8508,frma,0.03767427
1582,CG1239,0.03767309
2919,CG15822,0.037548594
8588,gammaTry,0.037403174
3765,CG3088,0.03737879
7762,Cyp9h1,0.037300494
8737,gol,0.037296467
6734,CG7829,0.03715416
7858,Det,0.037133023
2745,CG15353,0.036968093
7381,Cks30A,0.03694975
5397,CG43114,0.036838036
9970,Mis12,0.03662073
5189,CG42561,0.036619883
10652,Nxt1,0.036571037
12147,seq,0.0365621
2571,CG14879,0.03655903
7874,Dh31,0.036558453
7559,Cpr67Fa1,0.036489937
12471,Sp7,0.03646416
13584,Xrp1,0.036453363
4789,CG34305,0.036357168
1172,CG10916,0.036175303
12549,SPR,0.036093142
11018,Peritrophin-15b,0.036049996
7205,CG9673,0.03599318
7694,Cyp305a1,0.035946544
9014,Hlc,0.035903424
4642,CG34054,0.035892513
1989,CG13502,0.03587215
13059,Trissin,0.03570573
827,cathD,0.035674244
8283,emc,0.035645284
9424,kel,0.035611536
3101,CG17187,0.03559199
811,Capa,0.035536088
3588,CG30001,0.035534997
7276,CG9928,0.03553209
11836,RpL37a,0.035493176
11818,RpL23A,0.035479877
13061,trk,0.035440926
13616,Yp1,0.035292987
9763,MAGE,0.035215415
8546,fw,0.035215396
7912,Dip-B,0.035154115
5029,CG40635,0.035095662
13438,vir-1,0.03497318
7869,dgt2,0.03496473
321,apolpp,0.034959715
3349,CG18367,0.03495668
8569,Gadd45,0.0348742
3034,CG16956,0.034672253
2297,CG14258,0.03460529
8422,FeCH,0.03459749
226,alpha-Est5,0.034506
6883,CG8329,0.034498967
13450,Vm34Ca,0.034489542
7635,Ctl1,0.03443445
3622,CG30083,0.034359213
11208,Plod,0.034298796
8351,euc,0.034206275
656,BomS4,0.034181878
10382,ND3,0.03416978
248,Alr,0.034128625
7486,COX6B,0.034097522
13646,Zip42C.1,0.034002606
10505,Nmda1,0.03396858
9651,Lip3,0.033866543
3524,CG2608,0.033836585
547,bcn92,0.03376426
9993,Mmp1,0.033703975
1857,CG13177,0.033700533
10471,NimB2,0.033612054
3392,CG18598,0.033536963
4576,CG33774,0.03352795
10726,oc,0.033481184
10566,NPF,0.033457395
5528,CG43355,0.033429183
8879,GstE9,0.033378523
2598,CG14957,0.033354685
12557,Spt-I,0.03328003
6375,CG6462,0.033231303
4601,CG33947,0.033187583
11497,Qtzl,0.033159968
1868,CG13215,0.03314347
257,Amnionless,0.03311666
6161,CG5644,0.033100966
654,BomS2,0.03309988
11840,RpL39,0.033088844
1675,CG12730,0.03302739
3895,CG31370,0.03300799
2499,CG14695,0.03291922
4492,CG33468,0.032860044
8082,dsx,0.03281156
4087,CG31955,0.032769118
12512,spn-D,0.03272347
3087,CG17134,0.032675367
3595,CG30022,0.032640114
7976,DNaseII,0.032617234
9320,isoQC,0.03261494
5,Tissue_Brain,0.032607105
451,atk,0.032575857
13386,veli,0.032571312
11953,rumi,0.03251545
8166,Edg78E,0.032494914
12290,Sirup,0.0324811
6754,CG7900,0.032450616
6537,CG7130,0.032448445
7610,Crz,0.032329585
13428,viaf,0.032128997
11502,r-l,0.032126285
7351,Cht2,0.032089442
13619,yps,0.03205532
6670,CG7568,0.03204336
11878,RpS12,0.03203061
9531,l(2)k05911,0.03202579
11901,RpS29,0.031875487
216,Alp8,0.031838518
8321,Ercc1,0.03182413
9490,Ku80,0.031818073
3694,CG30345,0.03179457
3239,CG17752,0.03174041
6997,CG8852,0.03167907
1031,CG10361,0.031576578
4101,CG32023,0.031550445
2817,CG15533,0.03150665
2916,CG15818,0.031483643
12441,Sodh-1,0.031444475
2365,CG14401,0.031424638
577,Bet1,0.031417247
177,Akh,0.031397104
6870,CG8299,0.031385545
13618,Yp3,0.031364866
6318,CG6231,0.03135897
6799,CG8046,0.031348173
2168,CG13946,0.031324174
7001,CG8861,0.03129188
